input_text,label
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np >B DHv 1 [LEFT_OVER] s\.np)/#(s\.np) > PO 1 [RIGHT_OVER] np/*np < U1P 1 [RIGHT_EXT] np Desig DE 0 s/.np >T->B OE 1 [OT] 2,1
[LEFT_EXT] np/*np)\*np Desig DE 0 np/*np < U1P 1 [LEFT_OVER] s/.np >T->B OE 1 [RIGHT_OVER] s\.np > VO 1 [RIGHT_EXT]  [OT] 2,2
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np >B DHv 1 s/.np >T->B OE 2 [LEFT_OVER] s\.np)/#(s\.np) > PO 3 [RIGHT_OVER] s/.np >T->B OE 3 [RIGHT_EXT] np Desig DE 0 [OT] 2,0
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np)/.np >B DHv 1 [RIGHT_OVER] s\.np O/v-> VO 5 [RIGHT_EXT] np Desig DE 0 [OT] 2,0
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np)/.np >B DHv 1 [RIGHT_OVER] s\.np O/v-> VO 6 [RIGHT_EXT]  [OT] 2,0
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 2 [RIGHT_OVER] s\.np O/v-> VO 5 [RIGHT_EXT] np Desig DE 0 [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 2 [RIGHT_OVER] s\.np O/v-> VO 6 [RIGHT_EXT]  [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 2 [RIGHT_OVER] s\.np O/v-> VO 6 [RIGHT_EXT] np Desig DE 0 [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 2 [RIGHT_OVER] s\.np O/v-> VO 7 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] s\.np)/#(s\.np) Desig DE 0 [LEFT_OVER] s\.np O/v-> VO 5 [RIGHT_OVER] s\.np > VO 5 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] s\.np)/#(s\.np) Desig DE 0 [LEFT_OVER] s\.np O/v-> VO 5 [RIGHT_OVER] s\.np O/v-> VO 6 [RIGHT_EXT]  [OT] 3,2
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np O/v-> VO 6 [RIGHT_OVER] s\.np > VO 5 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np O/v-> VO 6 [RIGHT_OVER] s\.np O/v-> VO 5 [RIGHT_EXT] np Desig DE 0 [OT] 4,2
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np O/v-> VO 6 [RIGHT_OVER] s\.np O/v-> VO 6 [RIGHT_EXT]  [OT] 2,2
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np O/v-> VO 6 [RIGHT_OVER] s\.np O/v-> VO 7 [RIGHT_EXT]  [OT] 3,1
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np O/v-> VO 7 [RIGHT_OVER] s\.np O/v-> VO 5 [RIGHT_EXT] np Desig DE 0 [OT] 5,0
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np O/v-> VO 7 [RIGHT_OVER] s\.np O/v-> VO 6 [RIGHT_EXT]  [OT] 4,0
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np)/.np D/a->B DHv 1 [RIGHT_OVER] s\.np > VO 1 [RIGHT_EXT] np Desig DE 0 s < SP 1 [OT] 2,0
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np A/n-> AHn 1 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np D/a->B DHv 1 [LEFT_OVER] np A/n-> AHn 1 [RIGHT_OVER] s < SP 1 [RIGHT_EXT]  [OT] 2,0
[LEFT_EXT]  [LEFT_OVER] np > AHn 1 [RIGHT_OVER] s/.np >T->B OE 2 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 2,0
[LEFT_EXT]  [LEFT_OVER] np > AHn 1 [RIGHT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 2,0
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np)/.np D/a->B DHv 1 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,0
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np D/a->B DHv 1 s/.np >T->B OE 2 np A/n-Hn/v-> AHn 2 np Hn/v-> AHn 1 s/.np >T->B OE 3 np A/n-Hn/v-> AHn 3 [LEFT_OVER] np A/n-> AHn 1 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT]  [OT] 2,0
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] s/.np >T->B OE 2 [RIGHT_OVER] np Hn/v-> AHn 1 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 4,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] s/.np >T->B OE 2 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] s/.np >T->B OE 2 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] np Desig DE 0 np A/n-Hn/v-> AHn 1 [OT] 2,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] s/.np >T->B OE 2 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] s/.np >T->B OE 2 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 1,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] np Hn/v-> AHn 1 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 4,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] np Desig DE 0 np A/n-Hn/v-> AHn 1 [OT] 2,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] np Hn/v-> AHn 1 [RIGHT_OVER] s\.np)/.np D/a->B DHv 1 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 1,1
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] np Hn/v-> AHn 1 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] np Hn/v-> AHn 1 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] np Desig DE 0 np A/n-Hn/v-> AHn 1 [OT] 3,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] np Hn/v-> AHn 1 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT] s\.np Desig DE 0 [OT] 3,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT]  [OT] 2,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] s < SP 2 [RIGHT_EXT]  [OT] 2,2
[LEFT_EXT] np/.np Desig DE 0 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 3 [RIGHT_OVER] s/.np >T->B OE 2 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 4,2
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 3 [RIGHT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 4,2
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 3 [RIGHT_OVER] np Hn/v-> AHn 1 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 4,2
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 3 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 3 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] np Desig DE 0 np A/n-Hn/v-> AHn 1 [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 3 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,1
[LEFT_EXT]  [LEFT_OVER] np A/n-Hn/v-> AHn 3 [RIGHT_OVER] s/.np >T->B OE 2 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 4,2
[LEFT_EXT]  [LEFT_OVER] np A/n-Hn/v-> AHn 3 [RIGHT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 4,2
[LEFT_EXT]  [LEFT_OVER] np A/n-Hn/v-> AHn 3 [RIGHT_OVER] np Hn/v-> AHn 1 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 4,2
[LEFT_EXT]  [LEFT_OVER] np A/n-Hn/v-> AHn 3 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] np A/n-Hn/v-> AHn 3 [RIGHT_OVER] s/.np >T->B OE 3 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 1,2
[LEFT_EXT]  [LEFT_OVER] np A/n-Hn/v-> AHn 3 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] np Desig DE 0 np A/n-Hn/v-> AHn 1 [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] np A/n-Hn/v-> AHn 3 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] np A/n-> AHn 1 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,1
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT] s\.np Desig DE 0 [OT] 3,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] s < SP 2 [RIGHT_EXT]  [OT] 2,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 3 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 4,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 3 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT]  [OT] 2,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 3 [RIGHT_OVER] s < SP 2 [RIGHT_EXT]  [OT] 2,2
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 3 [RIGHT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np D/a->B DHv 1 s/.np >T->B OE 2 np A/n-Hn/v-> AHn 2 np Hn/v-> AHn 1 s/.np >T->B OE 3 np A/n-Hn/v-> AHn 3 [LEFT_OVER] s < SP 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT]  [OT] 4,2
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np D/a->B DHv 1 s/.np >T->B OE 2 np A/n-Hn/v-> AHn 2 np Hn/v-> AHn 1 s/.np >T->B OE 3 np A/n-Hn/v-> AHn 3 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT]  [OT] 4,0
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np D/a->B DHv 1 s/.np >T->B OE 2 np A/n-Hn/v-> AHn 2 np Hn/v-> AHn 1 s/.np >T->B OE 3 np A/n-Hn/v-> AHn 3 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] s < SP 2 [RIGHT_EXT]  [OT] 1,0
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np)/.np D/a->B DHv 1 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT]  [OT] 2,0
[LEFT_EXT] np Desig DE 0 np > AHn 1 [LEFT_OVER] s\.np > VO 4 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT]  [OT] 4,0
[LEFT_EXT]  [LEFT_OVER] np > AHn 1 [RIGHT_OVER] s < SP 5 [RIGHT_EXT]  [OT] 2,0
[LEFT_EXT]  [LEFT_OVER] s < SP 6 [RIGHT_OVER] s < SP 5 [RIGHT_EXT]  [OT] 4,0
[LEFT_EXT] s\.np)/.np)/.np Desig DE 0 [LEFT_OVER] s\.np)/#(s\.np) > PO 1 [RIGHT_OVER] s/.np >T->B OE 1 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 [OT] 2,0
[LEFT_EXT] s\.np)/#(s\.np))/*np Desig DE 0 [LEFT_OVER] s/.np >T->B OE 1 [RIGHT_OVER] s\.np > VO 1 [RIGHT_EXT] np Desig DE 0 s < SP 1 [OT] 2,2
[LEFT_EXT] s\.np)/#(s\.np))/*np Desig DE 0 [LEFT_OVER] s/.np >T->B OE 1 [RIGHT_OVER] np A/v-> AHn 1 [RIGHT_EXT] np Desig DE 0 s < SP 1 [OT] 2,2
[LEFT_EXT] np Desig DE 0 s\.np)/#(s\.np) > PO 1 [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np A/n-> AHn 1 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,1
[LEFT_EXT] np Desig DE 0 s\.np)/#(s\.np) > PO 1 [LEFT_OVER] np A/v-> AHn 1 [RIGHT_OVER] s\.np > VO 1 [RIGHT_EXT] np Desig DE 0 s < SP 1 [OT] 1,2
[LEFT_EXT] np Desig DE 0 s\.np)/#(s\.np) > PO 1 [LEFT_OVER] np A/v-> AHn 1 [RIGHT_OVER] np A/n-> AHn 1 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 s/.np >T->B OE 1 [LEFT_OVER] np A/n-> AHn 1 [RIGHT_OVER] s < SP 1 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,0
[LEFT_EXT] s/.np)\.np)/#((s\.np)/.np) Desig DE 0 [LEFT_OVER] np A/v-> AHn 1 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT] s\.np)/#(s\.np))/*np Desig DE 0 s\.np)/#(s\.np) > PO 1 s\.np)/.np >B DHv 2 [OT] 2,0
[LEFT_EXT] s\.np)/.np)/.np Desig DE 0 np A/n-Hn/v-> AHn 1 np A/n-Hn/v-> AHn 2 [LEFT_OVER] s\.np)/#(s\.np) > PO 1 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 2,0
[LEFT_EXT] s\.np)/.np Desig DE 0 np A/n-Hn/v-> AHn 1 s\.np)/.np >B DHv 2 [LEFT_OVER] np A/n-> AHn 1 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,0
[LEFT_EXT] s\.np)/#(s\.np))/*np Desig DE 0 [LEFT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] s\.np)/#((s\.np)/.np) <T-<B2 MOv 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT] s\.np)/#(s\.np))/*np Desig DE 0 s\.np)/#(s\.np) > PO 1 s\.np)/.np >B DHv 2 [OT] 2,0
[LEFT_EXT]  [LEFT_OVER] s\.np)/#((s\.np)/.np) <T-<B2 MOv 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_EXT] s\.np)/#(s\.np))/*np Desig DE 0 s\.np)/#(s\.np) > PO 1 s\.np)/.np >B DHv 2 [OT] 2,0
[LEFT_EXT] np Desig DE 0 s\.np)/#(s\.np) > PO 1 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,2
[LEFT_EXT] np Desig DE 0 s\.np)/#(s\.np) > PO 1 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] s < SP 2 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,2
[LEFT_EXT] np Desig DE 0 s\.np)/#(s\.np) > PO 1 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,1
[LEFT_EXT] s/.np)\.np)/#((s\.np)/.np) Desig DE 0 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT] s\.np)/#(s\.np))/*np Desig DE 0 s\.np)/#(s\.np) > PO 1 s\.np)/.np >B DHv 2 [OT] 4,2
[LEFT_EXT] s\.np)/.np)/.np Desig DE 0 np A/n-Hn/v-> AHn 1 np A/n-Hn/v-> AHn 2 [LEFT_OVER] s\.np)/.np >B DHv 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT] np Desig DE 0 np A/n-> AHn 1 s < SP 2 np A/n-Hn/v-> AHn 2 [OT] 4,0
[LEFT_EXT] s\.np)/.np)/.np Desig DE 0 np A/n-Hn/v-> AHn 1 np A/n-Hn/v-> AHn 2 [LEFT_OVER] s\.np)/.np >B DHv 2 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,0
[LEFT_EXT] s\.np)/.np Desig DE 0 np A/n-Hn/v-> AHn 1 s\.np)/.np >B DHv 2 [LEFT_OVER] s < SP 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 4,2
[LEFT_EXT] s\.np)/.np Desig DE 0 np A/n-Hn/v-> AHn 1 s\.np)/.np >B DHv 2 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] np A/n-Hn/v-> AHn 1 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 4,0
[LEFT_EXT] s\.np)/.np Desig DE 0 np A/n-Hn/v-> AHn 1 s\.np)/.np >B DHv 2 [LEFT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_OVER] s < SP 2 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 1,0
[LEFT_EXT] s\.np)/.np)/.np Desig DE 0 s\.np)/.np >B DHv 3 [LEFT_OVER] s\.np)/.np >B DHv 2 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,0
[LEFT_EXT] np Desig DE 0 s\.np)/#(s\.np) > PO 1 [LEFT_OVER] s\.np > VO 3 [RIGHT_OVER] np/*np < U1P 3 [RIGHT_EXT] np/.np Desig DE 0 np > AHn 1 [OT] 2,2
[LEFT_EXT] s\.np)/.np)/.np Desig DE 0 s\.np)/.np >B DHv 3 [LEFT_OVER] s\.np > VO 3 [RIGHT_OVER] np A/n-> AHn 1 [RIGHT_EXT] s\.np Desig DE 0 [OT] 2,1
[LEFT_EXT] s\.np)/.np)/.np Desig DE 0 s\.np)/.np >B DHv 3 [LEFT_OVER] s\.np > VO 3 [RIGHT_OVER] np A/n-Hn/v-> AHn 2 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,1
[LEFT_EXT] s\.np)/.np)/.np Desig DE 0 s\.np)/.np >B DHv 3 [LEFT_OVER] s\.np > VO 3 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,2
